model,method,site,layer,f,mean_group_range,nmse,rows_used,groups_observed,slots,d,group_size,sample_stride,frozen_range,frozen_nmse,frozen_rows,evaluation_tokens,quantitative_source,null_space_source
llama31_8b,duquant_style,down,0,0.728453381054129,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,1,0.9996612339384352,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,2,0.018300464218177,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,3,0.0230899067222425,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,4,0.0358270982710074,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,5,0.0258189105184525,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,6,0.0211553051426404,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,7,0.0156878771846648,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,8,0.0171894820838641,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,9,0.0215541977397454,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,10,0.0548287204137435,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,11,0.0183645142698942,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,12,0.0185554352928951,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,13,0.0201311051384264,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,14,0.0194186968698384,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,15,0.0222945148660936,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,16,0.0196832507708389,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,17,0.0257844897281815,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,18,0.0273582663075696,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,19,0.0240764731434964,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,20,0.0344188634863552,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,21,0.0389139939325453,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,22,0.0352433814278121,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,23,0.0266802691136656,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,24,0.0277536917841941,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,25,0.0307388808366017,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,26,0.0389873383140445,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,27,0.0263272062732454,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,28,0.0327548577114308,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,29,0.0313027436834676,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,down,30,0.0443167851834496,,,8192,0,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
