model,row,site,layer,direction,captured_share,energy_fraction
llama31_8b,hadamard_g256_m2,qkv,0,0,0.0033549494110047817,0.29231446981430054
llama31_8b,hadamard_g256_m2,qkv,0,1,0.02690494805574417,0.05347220227122307
llama31_8b,hadamard_g256_m2,qkv,0,2,0.026770301163196564,0.049042340368032455
llama31_8b,hadamard_g256_m2,qkv,0,3,0.01921083964407444,0.022512979805469513
llama31_8b,hadamard_g256_m2,qkv,0,4,0.006798871327191591,0.01660444214940071
llama31_8b,hadamard_g256_m2,qkv,0,5,0.00217376253567636,0.016004176810383797
llama31_8b,hadamard_g256_m2,qkv,0,6,0.017253786325454712,0.014708718284964561
llama31_8b,hadamard_g256_m2,qkv,0,7,0.0024489660281687975,0.012870215810835361
llama31_8b,hadamard_g256_m2,qkv,0,8,0.03179636225104332,0.01135773304849863
llama31_8b,hadamard_g256_m2,qkv,0,9,0.01131398044526577,0.010226945392787457
llama31_8b,hadamard_g256_m2,qkv,0,10,0.002349312650039792,0.00993185956031084
llama31_8b,hadamard_g256_m2,qkv,0,11,0.008139630779623985,0.00900260265916586
llama31_8b,hadamard_g256_m2,qkv,0,12,0.005757030099630356,0.008529001846909523
llama31_8b,hadamard_g256_m2,qkv,0,13,0.021878503262996674,0.00819315668195486
llama31_8b,hadamard_g256_m2,qkv,0,14,0.017662864178419113,0.007090246770530939
llama31_8b,hadamard_g256_m2,qkv,0,15,0.005625253077596426,0.006484240293502808
llama31_8b,hadamard_g256_m2,qkv,0,16,0.06467252969741821,0.005875263828784227
llama31_8b,hadamard_g256_m2,qkv,0,17,0.03321562707424164,0.005737063009291887
llama31_8b,hadamard_g256_m2,qkv,0,18,0.010228127241134644,0.005283690057694912
llama31_8b,hadamard_g256_m2,qkv,0,19,0.0011824636021628976,0.005254092160612345
llama31_8b,hadamard_g256_m2,qkv,0,20,0.007796553894877434,0.0049118162132799625
llama31_8b,hadamard_g256_m2,qkv,0,21,0.00589591171592474,0.004616193473339081
llama31_8b,hadamard_g256_m2,qkv,0,22,0.005159881431609392,0.004416323732584715
llama31_8b,hadamard_g256_m2,qkv,0,23,0.02142902836203575,0.004339619539678097
llama31_8b,hadamard_g256_m2,qkv,0,24,0.0024395030923187733,0.00420028530061245
llama31_8b,hadamard_g256_m2,qkv,0,25,0.009148347191512585,0.004137909971177578
llama31_8b,hadamard_g256_m2,qkv,0,26,0.022992873564362526,0.0038280843291431665
llama31_8b,hadamard_g256_m2,qkv,0,27,0.004371916875243187,0.0035650308709591627
llama31_8b,hadamard_g256_m2,qkv,0,28,0.017158739268779755,0.0034070368856191635
llama31_8b,hadamard_g256_m2,qkv,0,29,0.0067578828893601894,0.00337671278975904
llama31_8b,hadamard_g256_m2,qkv,0,30,0.0021300374064594507,0.0032141359988600016
llama31_8b,hadamard_g256_m2,qkv,0,31,0.0003483975597191602,0.0031636604107916355
llama31_8b,hadamard_g256_m2,qkv,0,32,0.0347243994474411,0.003053070046007633
llama31_8b,hadamard_g256_m2,qkv,0,33,0.007689711172133684,0.0029729760717600584
llama31_8b,hadamard_g256_m2,qkv,0,34,0.006875223014503717,0.002873929450288415
llama31_8b,hadamard_g256_m2,qkv,0,35,0.029853148385882378,0.002836625324562192
